,precision,recall,f1-score,support
again,1.0,1.0,1.0,47.0
bird,1.0,1.0,1.0,55.0
but,1.0,1.0,1.0,46.0
cousin,1.0,1.0,1.0,52.0
deaf,1.0,1.0,1.0,47.0
doctor,1.0,1.0,1.0,48.0
eat,1.0,0.9846153846153847,0.9922480620155039,65.0
father,1.0,1.0,1.0,52.0
finish,1.0,1.0,1.0,51.0
fish,1.0,1.0,1.0,44.0
happy,1.0,1.0,1.0,48.0
help,1.0,1.0,1.0,50.0
learn,0.92,1.0,0.9583333333333334,46.0
like,0.9791666666666666,1.0,0.9894736842105263,47.0
man,1.0,1.0,1.0,44.0
mother,1.0,1.0,1.0,54.0
need,1.0,1.0,1.0,54.0
nice,1.0,1.0,1.0,55.0
no,1.0,1.0,1.0,48.0
orange,0.9803921568627451,1.0,0.9900990099009901,50.0
school,1.0,1.0,1.0,50.0
sit,1.0,1.0,1.0,46.0
spring,1.0,1.0,1.0,53.0
student,1.0,0.9111111111111111,0.9534883720930233,45.0
table,1.0,1.0,1.0,47.0
teacher,1.0,1.0,1.0,54.0
tired,1.0,0.9772727272727273,0.9885057471264368,44.0
water,1.0,1.0,1.0,46.0
what,1.0,1.0,1.0,46.0
yes,1.0,1.0,1.0,47.0
accuracy,0.9959486833220796,0.9959486833220796,0.9959486833220796,0.9959486833220796
macro avg,0.995985294117647,0.9957666407666408,0.9957382736226604,1481.0
weighted avg,0.996192060213687,0.9959486833220796,0.995942539253906,1481.0
